,beach,Grouped Corrected Common Name,Corrected Quantity
3,main street,atlantic silverside,1841
11,main street,herring,233
5,main street,bay anchovy,193
29,main street,striped bass,161
2,main street,atlantic menhaden,78
19,main street,porgy,56
7,main street,bluefish,54
10,main street,flatfish,52
4,main street,atlantic tomcod,46
15,main street,northern pipefish,41
38,pier 4,atlantic silverside,2595
37,pier 4,atlantic menhaden,165
40,pier 4,bay anchovy,72
51,pier 4,silver perch,64
39,pier 4,atlantic tomcod,54
41,pier 4,bluefish,39
46,pier 4,northern pipefish,26
55,pier 4,striped bass,23
57,pier 4,tautog,17
44,pier 4,herring,14
